time;cc;earfcn;pci;rsrp;pl;cfo;pci_neigh;rsrp_neigh;cfo_neigh;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;distance_km;speed_kmph;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;sys_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11;cpu_12;cpu_13;cpu_14;cpu_15;cpu_16;cpu_17;cpu_18;cpu_19;cpu_20;cpu_21;cpu_22;cpu_23;cpu_24;cpu_25;cpu_26;cpu_27;cpu_28;cpu_29;cpu_30;cpu_31
6487;0;368500;1;-27;0.0;155;n/a;n/a;n/a;20;0.57;4.4;5795.275391;86;0.0;0.0;0.0;28;0.0;51401.574219;0;0.0;6.0;0.0;0.0;1.2;751492;1680460;20;0.88;20;3.8;1.8;0.0;3.8;1.8;1.8;5.8;14;0.0;0.0;0.0;0.0;0.0;0.0;3.8;18;3.8;1.8;0.0;1.8;0.0;14;1.8;5.8;16;3.8;1.8;1.8;0.0;0.0;0.0;0.0
6986;0;368500;1;-32;0.0;-90;n/a;n/a;n/a;0.0;-2.0;0.0;0.0;100.000000;0.0;0.0;0.0;28;400;34133.332031;0;0.0;4.0;0.0;0.0;1.2;751492;1680460;20;0.81;20;2.0;0.0;0.0;4.0;2.0;0.0;6.0;12;0.0;0.0;0.0;0.0;0.0;2.0;4.0;12;4.0;0.0;0.0;2.0;0.0;16;2.0;6.0;18;4.0;2.0;4.0;0.0;0.0;2.0;6.0
7485;0;368500;1;-27;0.0;106;n/a;n/a;n/a;20;0.37;5.8;5818.181641;86;0.0;0.0;0.0;28;0.0;51604.742188;0;0.0;6.0;0.0;0.0;1.2;751492;1680460;20;1.0;20;1.8;0.0;0.0;3.8;0.0;14;7.8;14;20;0.0;0.0;0.0;0.0;1.8;5.8;22;5.8;0.0;0.0;0.0;1.8;3.8;1.8;5.8;0.0;3.8;1.8;1.8;1.8;0.0;1.8;1.8
7984;0;368500;1;-33;0.0;-60;n/a;n/a;n/a;0.0;-2.4;0.0;0.0;100.000000;0.0;0.0;0.0;28;148;34403.160156;0;0.0;4.0;0.0;0.0;1.2;751492;1680460;20;1.0;20;4.0;2.0;0.0;4.0;0.0;0.0;8.0;14;6.0;6.0;2.0;2.0;0.0;4.0;4.0;20;4.0;0.0;0.0;0.0;2.0;20;2.0;8.0;16;2.0;0.0;4.0;0.0;0.0;0.0;0.0
8483;0;368500;1;-29;0.0;3.7;n/a;n/a;n/a;20;-0.53;2.0;1443.137207;95;0.0;0.0;0.0;28;0.0;51200.000000;0;0.0;6.0;0.0;0.0;1.2;751492;1680460;20;1.0;20;3.8;0.0;0.0;5.8;0.0;0.0;7.8;14;1.8;3.8;1.8;1.8;1.8;1.8;3.8;22;1.8;0.0;1.8;0.0;1.8;20;1.8;5.8;20;0.0;1.8;3.8;1.8;1.8;0.0;0.0
8982;0;368500;1;-32;0.0;23;n/a;n/a;n/a;4.0;-2.2;1.5;756;50;0.0;0.0;0.0;28;0.0;17133.857422;0;0.0;1.0;0.0;0.0;1.2;751492;1680460;20;0.88;20;3.8;1.8;0.0;3.8;0.0;0.0;5.8;14;14;1.8;1.8;1.8;0.0;1.8;3.8;18;1.8;0.0;0.0;0.0;1.8;16;0.0;5.8;5.8;1.8;0.0;1.8;0.0;0.0;0.0;0.0
9481;0;368500;1;-32;0.0;1.6;n/a;n/a;n/a;12;-2.8;3.5;3155.818604;75;0.0;0.0;0.0;16;3.0;52418.144531;56;0.0;4.0;0.0;0.0;1.2;751492;1680460;20;0.94;20;3.8;0.0;0.0;1.8;0.0;12;7.8;14;7.8;1.8;0.0;0.0;0.0;1.8;5.8;20;3.8;0.0;0.0;3.8;1.8;7.8;1.8;5.8;14;5.8;1.8;1.8;0.0;0.0;0.0;1.8
9980;0;368500;1;-29;0.0;-31;n/a;n/a;n/a;20;-0.94;3.6;5761.252441;80;0.0;0.0;0.0;5.6;0.0;59381.605469;67;0.0;4.0;0.0;0.0;1.2;751492;1680460;20;1.0;20;6.0;0.0;0.0;0.0;0.0;20;8.0;14;0.0;0.0;2.0;2.0;2.0;2.0;4.0;22;2.0;0.0;0.0;4.0;2.0;0.0;2.0;6.0;20;4.0;2.0;4.0;0.0;0.0;0.0;0.0
10479;0;368500;1;-32;0.0;83;n/a;n/a;n/a;20;-2.2;2.0;1451.676514;92;0.0;0.0;0.0;28;77;34335.304688;0;0.0;4.0;0.0;0.0;1.2;751492;1680460;20;1.0;20;3.8;1.8;0.0;0.0;0.0;18;7.8;14;0.0;0.0;0.0;1.8;0.0;1.8;3.8;22;1.8;0.0;0.0;3.8;1.8;0.0;1.8;7.8;22;3.8;1.8;3.8;0.0;0.0;0.0;0.0
10978;0;368500;1;-27;0.0;33;n/a;n/a;n/a;20;0.027;3.0;2886.274414;93;0.0;0.0;0.0;28;0.0;51200.000000;0;0.0;6.0;0.0;0.0;1.2;751492;1680460;20;1.0;20;3.8;0.0;0.0;0.0;0.0;18;5.8;14;0.0;1.8;1.8;1.8;1.8;3.8;5.8;18;3.8;0.0;0.0;5.8;3.8;3.8;1.8;5.8;20;3.8;1.8;3.8;0.0;0.0;0.0;3.8
11477;0;368500;1;-30;0.0;50;n/a;n/a;n/a;20;-1.2;7.7;2891.945068;89;0.0;0.0;0.0;28;77;34200.394531;0;0.0;4.0;0.0;0.0;1.2;751492;1680460;20;1.0;20;6.0;2.0;0.0;0.0;0.0;0.0;8.0;14;0.0;4.0;2.0;0.0;2.0;2.0;4.0;22;2.0;2.0;0.0;4.0;2.0;18;2.0;4.0;20;2.0;2.0;2.0;4.0;2.0;2.0;0.0
